gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,yardlineSide,yardlineNumber,gameClock,kickLength,displayName,season,week,gameDate,homeTeamAbbr,visitorTeamAbbr,seasonType
2025_05_KC_JAX,3323,"(8:13) 39-C.Little 52 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke.",4,4,5,JAX,Field Goal,Kick Attempt Good,00-0039409,KC,34.0,08:13:00,52.0,C.Little,2025,5,2025-10-06,JAX,KC,REG
2025_05_LV_IND,518,"(3:24) 8-D.Carlson 24 yard field goal is GOOD, Center-50-J.Bobenmoyer, Holder-6-A.Cole.",1,4,6,LV,Field Goal,Kick Attempt Good,00-0034161,IND,6.0,03:24:00,24.0,D.Carlson,2025,5,2025-10-05,IND,LV,REG
2025_05_LV_IND,2234,"(:02) 8-D.Carlson 57 yard field goal is No Good, Wide Right, Center-50-J.Bobenmoyer, Holder-6-A.Cole. ** Injury Update: LV-6-A.Cole has returned to the game.",2,1,10,LV,Field Goal,Kick Attempt No Good,00-0034161,IND,39.0,00:02:00,57.0,D.Carlson,2025,5,2025-10-05,IND,LV,REG
2025_05_LV_IND,3544,"(11:43) 8-D.Carlson 37 yard field goal is GOOD, Center-50-J.Bobenmoyer, Holder-6-A.Cole.",4,4,19,LV,Field Goal,Kick Attempt Good,00-0034161,IND,19.0,11:43:00,37.0,D.Carlson,2025,5,2025-10-05,IND,LV,REG
2025_05_MIA_CAR,315,"(9:08) 47-R.Patterson 43 yard field goal is GOOD, Center-49-J.Cardona, Holder-16-J.Bailey.",1,4,21,MIA,Field Goal,Kick Attempt Good,00-0036816,CAR,25.0,09:08:00,43.0,R.Patterson,2025,5,2025-10-05,CAR,MIA,REG
2025_05_MIA_CAR,2081,"(:04) 10-R.Fitzgerald 35 yard field goal is GOOD, Center-44-J.Jansen, Holder-6-S.Martin.",2,3,15,CAR,Field Goal,Kick Attempt Good,00-0040279,MIA,17.0,00:04:00,35.0,R.Fitzgerald,2025,5,2025-10-05,CAR,MIA,REG
2025_05_MIA_CAR,2253,"(12:19) 10-R.Fitzgerald 49 yard field goal is GOOD, Center-44-J.Jansen, Holder-6-S.Martin.",3,4,24,CAR,Field Goal,Kick Attempt Good,00-0040279,MIA,31.0,12:19:00,49.0,R.Fitzgerald,2025,5,2025-10-05,CAR,MIA,REG
2025_05_MIN_CLE,2299,"(:13) 25-A.Szmyt 31 yard field goal is GOOD, Center-50-R.Sunahara, Holder-13-C.Bojorquez.",2,4,13,CLE,Field Goal,Kick Attempt Good,00-0038428,MIN,13.0,00:13:00,31.0,A.Szmyt,2025,5,2025-10-05,CLE,MIN,REG
2025_05_MIN_CLE,3629,"(9:46) 16-W.Reichard 51 yard field goal is No Good, Wide Right, Center-42-A.DePaola, Holder-17-R.Wright.",4,4,6,MIN,Field Goal,Kick Attempt No Good,00-0039404,CLE,33.0,09:46:00,51.0,W.Reichard,2025,5,2025-10-05,CLE,MIN,REG
2025_05_NE_BUF,984,"(:59) 36-A.Borregales 30 yard field goal is GOOD, Center-47-J.Ashby, Holder-17-B.Baringer.",1,4,11,NE,Field Goal,Kick Attempt Good,00-0040200,BUF,12.0,00:59:00,30.0,A.Borregales,2025,5,2025-10-05,BUF,NE,REG
2025_05_NE_BUF,1338,"(9:37) 15-M.Prater 31 yard field goal is GOOD, Center-69-R.Ferguson, Holder-19-M.Wishnowsky.",2,4,6,BUF,Field Goal,Kick Attempt Good,00-0023853,NE,13.0,09:37:00,31.0,M.Prater,2025,5,2025-10-05,BUF,NE,REG
2025_05_NE_BUF,2185,"(:01) 36-A.Borregales 19 yard field goal is GOOD, Center-47-J.Ashby, Holder-17-B.Baringer.",2,2,1,NE,Field Goal,Kick Attempt Good,00-0040200,BUF,1.0,00:01:00,19.0,A.Borregales,2025,5,2025-10-05,BUF,NE,REG
2025_05_NE_BUF,4126,"(2:21) 15-M.Prater 45 yard field goal is GOOD, Center-69-R.Ferguson, Holder-19-M.Wishnowsky.",4,4,10,BUF,Field Goal,Kick Attempt Good,00-0023853,NE,27.0,02:21:00,45.0,M.Prater,2025,5,2025-10-05,BUF,NE,REG
2025_05_NE_BUF,4340,"(:20) 36-A.Borregales 52 yard field goal is GOOD, Center-47-J.Ashby, Holder-17-B.Baringer.",4,4,5,NE,Field Goal,Kick Attempt Good,00-0040200,BUF,34.0,00:20:00,52.0,A.Borregales,2025,5,2025-10-05,BUF,NE,REG
2025_05_NYG_NO,908,"(1:44) 19-B.Grupe 28 yard field goal is GOOD, Center-49-Z.Wood, Holder-32-K.Kroeger.",1,4,8,NO,Field Goal,Kick Attempt Good,00-0038905,NYG,10.0,01:44:00,28.0,B.Grupe,2025,5,2025-10-05,NO,NYG,REG
2025_05_NYG_NO,1502,"(7:46) 19-B.Grupe 53 yard field goal is GOOD, Center-49-Z.Wood, Holder-32-K.Kroeger.",2,4,12,NO,Field Goal,Kick Attempt Good,00-0038905,NYG,35.0,07:46:00,53.0,B.Grupe,2025,5,2025-10-05,NO,NYG,REG
2025_05_NYG_NO,2145,"(1:30) 19-B.Grupe 52 yard field goal is No Good, Wide Left, Center-49-Z.Wood, Holder-32-K.Kroeger.",2,4,11,NO,Field Goal,Kick Attempt No Good,00-0038905,NYG,34.0,01:30:00,52.0,B.Grupe,2025,5,2025-10-05,NO,NYG,REG
2025_05_NYG_NO,2466,"(:03) 19-B.Grupe 29 yard field goal is GOOD, Center-49-Z.Wood, Holder-32-K.Kroeger.",2,3,11,NO,Field Goal,Kick Attempt Good,00-0038905,NYG,11.0,00:03:00,29.0,B.Grupe,2025,5,2025-10-05,NO,NYG,REG
2025_05_NYG_NO,3018,"(6:57) 19-B.Grupe 28 yard field goal is GOOD, Center-49-Z.Wood, Holder-32-K.Kroeger.",3,4,9,NO,Field Goal,Kick Attempt Good,00-0038905,NYG,9.0,06:57:00,28.0,B.Grupe,2025,5,2025-10-05,NO,NYG,REG
