play_id,game_id,game_date,week,home_team,away_team,possession_team,defensive_team,quarter,down,yards_to_go,yardline_100,game_seconds_remaining,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,complete_pass,first_down,sack,qb_hit,interception,fumble_lost,penalty,penalty_yards,touchdown,field_goal_attempt,field_goal_result,kick_distance,special_teams_play,possession_team_score,defensive_team_score,score_differential,expected_points_before,expected_points_added,possession_team_win_probability,win_probability_added,successful_play,passer_player_name,receiver_player_name,rusher_player_name,kicker_player_name
2024_16_SF_MIA-2201,2024_16_SF_MIA,2024-12-22,16,MIA,SF,MIA,SF,3,1,10,70.0,1800.0,run,1.0,true,false,false,false,,,,,left,guard,false,true,false,false,false,false,true,15.0,false,false,,,false,13.0,10.0,3.0,1.7887307559140027,1.1065771428402513,0.6843869090080261,0.030849337577819824,true,,,D.Achane,
2024_06_ATL_CAR-4149,2024_06_ATL_CAR,2024-10-13,6,CAR,ATL,ATL,CAR,4,2,2,28.0,241.0,run,8.0,false,false,false,false,,,,,right,end,false,true,false,false,false,false,false,,false,false,,,false,35.0,20.0,15.0,3.94815603812458,0.21483972278656438,0.9987234473228455,0.0003554224967956543,true,,,T.Allgeier,
2024_09_DAL_ATL-2774,2024_09_DAL_ATL,2024-11-03,9,ATL,DAL,DAL,ATL,3,1,10,49.0,1092.0,pass,0.0,true,false,true,false,deep,right,30.0,,,,false,false,false,true,false,false,false,,false,false,,,false,10.0,21.0,-11.0,2.655669019324705,-0.5316628026776016,0.15001951158046722,-0.014826074242591858,false,D.Prescott,J.Tolbert,,
2024_04_DEN_NYJ-1673,2024_04_DEN_NYJ,2024-09-29,4,NYJ,DEN,DEN,NYJ,2,3,8,49.0,2291.0,no_play,0.0,true,false,false,false,,,,,,,false,false,false,false,false,false,true,5.0,false,false,,,false,0.0,3.0,-3.0,1.1745571258943528,0.873497782740742,0.41407451033592224,0.05671992897987366,true,,,,
2024_09_LA_SEA-1919,2024_09_LA_SEA,2024-11-03,9,SEA,LA,SEA,LA,2,1,10,45.0,1927.0,pass,0.0,true,true,true,false,short,left,1.0,,,,false,false,false,false,false,false,false,,false,false,,,false,0.0,3.0,-3.0,2.473067506798543,-0.34260715026175603,0.4723494052886963,-0.019416749477386475,false,G.Smith,A.Barner,,
2024_13_SEA_NYJ-1166,2024_13_SEA_NYJ,2024-12-01,13,NYJ,SEA,SEA,NYJ,2,3,9,54.0,2656.0,pass,25.0,true,true,true,false,deep,middle,16.0,9.0,,,true,true,false,false,false,false,false,,false,false,,,false,0.0,14.0,-14.0,0.8507478979881853,3.0838939445093274,0.12233882397413254,0.03298639506101608,true,G.Smith,J.Smith-Njigba,,
2024_14_SEA_ARI-3449,2024_14_SEA_ARI,2024-12-08,14,ARI,SEA,SEA,ARI,4,2,15,57.0,725.0,no_play,0.0,true,false,false,false,,,,,,,false,false,false,false,false,false,true,10.0,false,false,,,false,27.0,18.0,9.0,1.3760506696999073,-0.5596149237826467,0.8941552639007568,-0.013307452201843262,false,,,,
2024_02_SEA_NE-4311,2024_02_SEA_NE,2024-09-15,2,NE,SEA,SEA,NE,5,1,10,84.0,492.0,pass,5.0,true,false,true,false,short,right,4.0,1.0,,,true,false,false,false,false,false,false,,false,false,,,false,20.0,20.0,0.0,0.39677612227387726,0.15755802998319268,0.40945479238871485,0.006848271703347564,true,G.Smith,J.Smith-Njigba,,
2024_01_ARI_BUF-2445,2024_01_ARI_BUF,2024-09-08,1,BUF,ARI,BUF,ARI,3,3,7,66.0,1294.0,pass,0.0,true,false,true,false,deep,middle,41.0,,,,false,false,false,false,false,false,false,,false,false,,,false,17.0,17.0,0.0,0.7183738611638546,-1.393969296477735,0.5347648859024048,-0.030752599239349365,false,J.Allen,M.Valdes-Scantling,,
2024_04_WAS_ARI-436,2024_04_WAS_ARI,2024-09-29,4,ARI,WAS,WAS,ARI,1,2,8,46.0,3153.0,pass,6.0,true,true,true,false,short,right,6.0,0.0,,,true,false,false,false,false,false,false,,false,false,,,false,0.0,7.0,-7.0,2.319754332769662,0.22453697002492845,0.327108770608902,-0.00654679536819458,true,J.Daniels,N.Brown,,
2024_18_CLE_BAL-3170,2024_18_CLE_BAL,2025-01-04,18,BAL,CLE,CLE,BAL,4,3,11,57.0,874.0,no_play,0.0,true,false,false,false,,,,,,,false,true,false,false,false,false,true,17.0,false,false,,,false,3.0,21.0,-18.0,0.49019796354696155,2.6720460816286504,0.017437182366847992,0.01064361073076725,true,,,,
2024_11_KC_BUF-1037,2024_11_KC_BUF,2024-11-17,11,BUF,KC,KC,BUF,1,3,4,24.0,2718.0,pass,14.0,true,false,true,false,short,right,6.0,8.0,,,true,true,false,false,false,false,false,,false,false,,,false,0.0,6.0,-6.0,3.7193729194113985,1.365493077551946,0.3202126622200012,0.05150943994522095,true,P.Mahomes,X.Worthy,,
2024_02_NYJ_TEN-3511,2024_02_NYJ_TEN,2024-09-15,2,TEN,NYJ,NYJ,TEN,4,3,1,65.0,431.0,pass,26.0,true,false,true,false,deep,right,18.0,8.0,,,true,true,false,false,false,false,false,,false,false,,,false,17.0,17.0,0.0,1.1425873576663435,1.9550607985584065,0.47307640314102173,0.10946875810623169,true,A.Rodgers,G.Wilson,,
2024_04_DAL_NYG-2350,2024_04_DAL_NYG,2024-09-26,4,NYG,DAL,NYG,DAL,3,2,13,83.0,1750.0,pass,16.0,true,false,true,false,short,middle,15.0,1.0,,,true,true,false,false,false,false,false,,false,false,,,false,9.0,14.0,-5.0,-0.14228144334629178,2.1747611118480563,0.32198724150657654,0.05474364757537842,true,D.Jones,D.Slayton,,
