flight_id,flight_date,quarter,month_number,day_of_week,marketing_carrier_code,operating_carrier_code,origin_airport_code,origin_city_name,origin_state,destination_airport_code,destination_city_name,destination_state,scheduled_departure_hhmm,actual_departure_hhmm,departure_delay_minutes,departure_delayed_15,scheduled_arrival_hhmm,actual_arrival_hhmm,arrival_delay_minutes,arrival_delayed_15,cancelled,cancellation_code,diverted,scheduled_elapsed_minutes,actual_elapsed_minutes,air_time_minutes,distance_miles,carrier_delay_minutes,weather_delay_minutes,national_aviation_system_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes
flt_ba42a4c8843e6fac4fddad300143,2024-07-30,3,7,2,WN,WN,MKE,"Milwaukee, WI",WI,BWI,"Baltimore, MD",MD,640,643,3.0,false,930,922,-8.0,false,false,,false,110.0,99.0,86.0,641.0,,,,,
flt_381b5fcecbe3d216f6ee947196aa,2024-11-13,4,11,3,UA,G7,ORD,"Chicago, IL",IL,SGF,"Springfield, MO",MO,1245,1239,-6.0,false,1432,1410,-22.0,false,false,,false,107.0,91.0,77.0,438.0,,,,,
flt_a0bf272ab7c4a53a3947b23a4903,2024-10-11,4,10,5,UA,UA,ORD,"Chicago, IL",IL,ATL,"Atlanta, GA",GA,1425,1421,-4.0,false,1730,1715,-15.0,false,false,,false,125.0,114.0,85.0,606.0,,,,,
flt_e332d0c761f69d9747107f9df21c,2024-10-15,4,10,2,WN,WN,MDW,"Chicago, IL",IL,PHL,"Philadelphia, PA",PA,1305,1308,3.0,false,1600,1559,-1.0,false,false,,false,115.0,111.0,90.0,668.0,,,,,
flt_0ff5fc2da91a232a372ebedb9d7e,2024-11-06,4,11,3,UA,UA,ORD,"Chicago, IL",IL,LAS,"Las Vegas, NV",NV,1330,1327,-3.0,false,1538,1507,-31.0,false,false,,false,248.0,220.0,198.0,1514.0,,,,,
flt_12a9fa0f8048556275a457e82730,2024-08-12,3,8,1,UA,UA,ORD,"Chicago, IL",IL,GRR,"Grand Rapids, MI",MI,2150,2313,83.0,true,2355,112,77.0,true,false,,false,65.0,59.0,33.0,137.0,77.0,0.0,0.0,0.0,0.0
flt_086ba2f52c52a7dc4b64a2f7f641,2024-12-22,4,12,7,UA,UA,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,700,655,-5.0,false,1019,947,-32.0,false,false,,false,139.0,112.0,93.0,733.0,,,,,
flt_dd5efd13c1ee4b805ab1ff7a3c43,2024-04-07,2,4,7,UA,UA,ORD,"Chicago, IL",IL,RSW,"Fort Myers, FL",FL,1549,1542,-7.0,false,1952,1944,-8.0,false,false,,false,183.0,182.0,142.0,1120.0,,,,,
flt_885f7fb2e1b710a274bd68d97a7b,2024-05-01,2,5,3,DL,9E,MSP,"Minneapolis, MN",MN,DLH,"Duluth, MN",MN,1555,1551,-4.0,false,1648,1642,-6.0,false,false,,false,53.0,51.0,32.0,144.0,,,,,
flt_f0b268f34dbcbe9d9fb5362aa6ed,2024-10-02,4,10,3,DL,DL,MSP,"Minneapolis, MN",MN,CLT,"Charlotte, NC",NC,1520,1517,-3.0,false,1854,1842,-12.0,false,false,,false,154.0,145.0,117.0,930.0,,,,,
flt_3a81bff2d739164ca85f08696edd,2024-09-06,3,9,5,B6,B6,MSP,"Minneapolis, MN",MN,BOS,"Boston, MA",MA,1905,1901,-4.0,false,2255,2241,-14.0,false,false,,false,170.0,160.0,136.0,1124.0,,,,,
flt_862a23f9247e818ff2a052ac5b7d,2024-11-15,4,11,5,UA,UA,ORD,"Chicago, IL",IL,IAH,"Houston, TX",TX,2132,2131,-1.0,false,21,6,-15.0,false,false,,false,169.0,155.0,133.0,925.0,,,,,
flt_89b9f6c24b528be579d263da4988,2024-10-24,4,10,4,AA,AA,ORD,"Chicago, IL",IL,BOS,"Boston, MA",MA,1845,1841,-4.0,false,2218,2154,-24.0,false,false,,false,153.0,133.0,108.0,867.0,,,,,
flt_a57f2aefda5f5a3471609c264843,2024-09-02,3,9,1,UA,OO,ORD,"Chicago, IL",IL,ATW,"Appleton, WI",WI,1535,1526,-9.0,false,1646,1629,-17.0,false,false,,false,71.0,63.0,30.0,160.0,,,,,
flt_6d88645d9a85a65f68cea49a04bc,2024-08-09,3,8,5,AA,MQ,ORD,"Chicago, IL",IL,CMH,"Columbus, OH",OH,1505,1551,46.0,true,1723,1804,41.0,true,false,,false,78.0,73.0,49.0,296.0,0.0,0.0,0.0,0.0,41.0
