crash_id,crash_datetime,crash_year,crash_month,crash_month_name,crash_weekday_name,crash_hour,time_period,posted_speed_limit_mph,traffic_control_device,reported_weather_condition,reported_lighting_condition,first_crash_type,trafficway_type,reported_road_surface_condition,crash_type,intersection_related,hit_and_run,estimated_damage,primary_contributory_cause,unit_count,most_severe_injury,injuries_total,injuries_fatal,latitude,longitude,zip5,weather_station_name,temperature_f,dew_point_f,relative_humidity_percent,precipitation_inches,visibility_miles,wind_speed_mph
crash_09766,2022-04-08 16:44:00,2022,4,Apr,Fri,16,Evening commute,30,NO CONTROLS,RAIN,DUSK,PARKED MOTOR VEHICLE,NOT DIVIDED,WET,INJURY AND / OR TOW DUE TO CRASH,,,"$501 - $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",3,NONINCAPACITATING INJURY,1,0,41.9113247572,-87.7118655548,60647,"CHICAGO MIDWAY AIRPORT, IL US",37.0,34.0,87.0,,2.5,7.0
crash_09767,2025-06-10 10:45:00,2025,6,Jun,Tue,10,Daytime,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,HEAD ON,FOUR WAY,DRY,NO INJURY / DRIVE AWAY,,,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.7497239717,-87.7025395717,60652,"CHICAGO MIDWAY AIRPORT, IL US",70.0,50.0,49.0,0.0,10.0,14.0
crash_09768,2024-03-02 22:46:00,2024,3,Mar,Sat,22,Night or early morning,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,,,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.8357193186,-87.6752699617,60608,"CHICAGO MIDWAY AIRPORT, IL US",49.0,39.0,69.0,0.0,10.0,9.0
crash_09769,2025-04-04 11:40:00,2025,4,Apr,Fri,11,Daytime,30,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,true,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,2,NO INDICATION OF INJURY,0,0,41.8363773708,-87.6232348958,60616,"CHICAGO MIDWAY AIRPORT, IL US",48.0,33.0,56.0,0.0,10.0,10.0
crash_09770,2018-01-06 16:30:00,2018,1,Jan,Sat,16,Evening commute,30,NO CONTROLS,CLEAR,DUSK,ANGLE,PARKING LOT,DRY,NO INJURY / DRIVE AWAY,,,"OVER $1,500",NOT APPLICABLE,2,NO INDICATION OF INJURY,0,0,41.8126289892,-87.7063942041,60632,"CHICAGO MIDWAY AIRPORT, IL US",15.0,-5.0,40.0,0.0,10.0,6.0
crash_09771,2022-06-09 07:30:00,2022,6,Jun,Thu,7,Morning commute,40,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,DRY,NO INJURY / DRIVE AWAY,,,"OVER $1,500",FOLLOWING TOO CLOSELY,3,NO INDICATION OF INJURY,0,0,41.9839519461,-87.6532151083,60660,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",55.0,52.0,90.0,,9.0,7.0
crash_09772,2025-05-15 08:39:00,2025,5,May,Thu,8,Morning commute,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TURNING,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,true,,$500 OR LESS,IMPROPER TURNING/NO SIGNAL,2,NONINCAPACITATING INJURY,1,0,41.8898380974,-87.6366916099,60654,"CHICAGO MIDWAY AIRPORT, IL US",76.0,64.0,67.0,0.0,10.0,9.0
crash_09773,2018-03-07 11:37:00,2018,3,Mar,Wed,11,Daytime,30,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,41.921810518,-87.7463873988,60639,"CHICAGO MIDWAY AIRPORT, IL US",34.0,19.0,54.0,0.0,10.0,13.0
crash_09774,2018-12-06 11:50:00,2018,12,Dec,Thu,11,Daytime,30,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,,,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.8095406177,-87.6134919286,60653,"CHICAGO MIDWAY AIRPORT, IL US",28.0,13.0,53.0,0.0,10.0,11.0
crash_09775,2024-09-20 17:30:00,2024,9,Sep,Fri,17,Evening commute,25,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,TRAFFIC ROUTE,DRY,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.722257273,-87.5852755651,60628,"CHICAGO MIDWAY AIRPORT, IL US",85.0,64.0,50.0,0.0,10.0,9.0
